"Roadmap","Summary","Idea short description","Theme","Impact score"
"Now","Enhanced user role-based access and management","Different users with different permissions can be asined both in the ACE application and in the OctaiPipe platform ","UI, Persistence layer","50"
"Now","4 Eyes Approval","The project involves implementing a 4 eyes approval system for recommendations within the OctaiPipe Platform. This feature is designed to enhance decision-making processes by requiring dual approval for high-risk recommendations. ","UI, Guardian","80"
"Now","Activity Log export","The activity log should be exportable in excel format for users to take offline for reporting. Target users are data‑centre facility engineers and sustainability leads. ","UI, Guardian","30"
"Now","Trajectory of RL Agent","The trajectory that the Optimiser RL agent will take in moving temperature and humidity over multiple timesteps in the Environment SLA,","UI, Guardian","30"
"Now","Have a way to validate configs and migrate to next version","The feature will have a way to validate configs and migrate to next version. adopt latest version of Flower","UI","10"
"Now","When  a user logs into the portal they can only access devices, models and experiments that are relevant to them","More roles to facilitate multi-division/organisation collaboration. ","UI","40"
"Now","RL Agent outputs setpoint changes via Modbus","Integration support allowing the RL agent to write messages back to the BMS or cooling control via ModBus.","Optimiser, Persistence layer","40"
"Now","Add safe roll back","The feature has two modes. 1) to cancel the immediate previous approved change and set it back to the last approved values, 2) to allow the user to set the set points to a pre-defined 'safe' settings ","UI, Guardian","40"
"Later","Local LLM RAG","This will allow us to provide the local LLM with context from industry wide and customer/site specific information (e.g. SOPs, EOPs, corporate objectives, regulation etc.) to help the accuracy and personalisation of responses","Advisor","0"
"Later","Local LLM fine tune","This will allow OctaiPipe to fine tune locally deployed LLM via traditional fine tuning and RAG","Advisor","40"
"Later","Optimise for energy cost, instead of energy saving","","Optimiser","20"
"Later","""Verified so far"" - Card footer","The card footer displays “Verified so far” the cumulative kWh already saved in this zone to reinforce positive feedback.","UI","0"
"Later","Provide extra rejection information","In addition to preset rejection reasons, operators can attach photographs useful for annotating mechanical issues. ","UI, Optimiser","0"
"Later","Federated Surrogate EIR Curves","","","40"
"Now","Build robust LLM framework","Develop a more robust LLM framework that is protected from prompt injection, detects halucination, logs for debug, ensures 99.9% uptime, less than 3 second latency, safety filters, etc. ","UI, Advisor","50"
"Now","Data quality monitor","Monitor for data quality and drift, for a more robust data pipeline and ML-Ops process.","Persistence layer, ML OPs","40"
"Next","E+Simulation parameter update from real world data ","This is is a feature that runs a bayesian optimisation of the E+ digital twin/simulation parameters in order to find optimal parameters","Persistence layer","40"
"Next","Downloadable PDF Audit report","This feature will produce an exportable, audit compliant report to help users with there sustainability compliance reporting ","UI","55"
"Next","Failsafe disconnect root cause. Manual reconnect root cause check box.","This feature surfaces for the user the root cause of the fail safe disconnect. In the case that the user is manually reconnecting, they must check box that they have found and understood the root cause","UI","30"
"Next","Improve time machine ","The time machine should filter past similar recommendations using unsupervised machine learning (DBSCAN) to present only selected sufficiently similar recommendations to the one being suggested.","UI, Persistence layer","20"
"Next","launch a simFL environment from portal","This feature allows users to deploy a population of virtual machines to simulate edge clients with partitioned data for federated learning experiments. ","UI, ML OPs","30"
"Next","Able to specify a group of (or individual) device on which to fine tune a chosen base model  ","The user should be able to pick a pre-initialised/trained base RL model (or any model) and select one or several edge client devices to for federated training, fine tuning, and/or inference. ","UI, ML OPs","10"
"Now","Refactor OP Edge Client Monitoring Service for Robustness","","ML OPs","40"
"Next","XGBoost fine tune in platform","Create a simple function to allow users to locally fine tune XGBoost models. ","UI, ML OPs","0"
"Next","OPC-UA support","This provides an integration to an industry standard messaging bus for communication with IoT network and cooling system control. ","Persistence layer","0"
"Next","import model button with code that reads and processes various model file formats. details tbd","This feature allows a data scientist user to easily import a model file of various format and convert to universal ONNYX format","UI, ML OPs","10"
"Next","FRL Planning Capability","This  feature allows the RL agents to have advanced planning abilities","Optimiser","40"
"Next","Recommendations are ordered by an ‘Impact Score’","Tasks are ordered by an Impact Score that multiplies projected kWh gain by SLA distance weighting. ","UI","30"
"Next","Maintenance calendar guardian integration","This feature explicitly integrates the DC maintenance calendar to the Guardian, so as to not permit set point changes when a room is undergoing known maintenance. ","Guardian, Persistence layer","45"
"Now","New Front end design ","Redesign the OctaiPipe developer platform UI to incorporate feedback from users","UI","30"
"Now","Add FRL capabilities ","We extend OctaiPipe's FL capabilities by adding a federated implementation of StableBaselines3","Optimiser, ML OPs","50"
"Now","BACnet support ","Extension of compatibility with fundamental message bus technologies.","Persistence layer","40"
"Next","XGBoost Tutorial ","Add a dedicated federated XG boost tutorial to the OctaiPipe developer platform documentation","UI","30"
"Next","Niagra support","Integration support for an industry standard IOT network/messaging technology.","Persistence layer","0"
"Later","Enable TSM to change spec of DC","This is to build an internal tool that will more scalably allow a pre or post sales engineer to easily update an E+ model of a DC in response to changes configuration and active IT.","Optimiser, Persistence layer, ML OPs","0"
"Later","LLM Agent for data ontologies","This is to build an internal tool to help improve the scalability of integrations by intelligently mapping data feeds to the ACE persistence layer. ","Persistence layer","50"
"Next","Add Forecasting of IT, building and cooling load","This feature idea overlaps with the planning feature. The aim is to introduce proper forecasts of cabinet or rack level IT loads to provide more accurate forecasts of expected IT load to the RL agent and impact on the building, IT and cooling load.","Optimiser, Persistence layer","40"
"Next","PEARL/MetaRL.","This development evolves the RL algorithm to adopt Meta learning and/or Pearl to allow it to learn and adapt more effectively across multiple heterogenous environments for improved scalability and reduced reliance on pre-deployment training.","Optimiser","50"
"Next","On device LLM Advisor","This feature provides for an on-device option for the LLM explainer for enhanced security and privacy by making the solution 100% on-prem","Advisor","100"
"Next","Addition of Co-Pilot for DS","This feature integrates an LLM co-pilot capable of planning, orchestrating, and executing a federated training and fine tuning/personalisation workload.","UI","30"
"Now","RL and E+ monitoring tool","Tooling to monitor the behaviour of both the locally deployed reinforcement learning agent and E+ model.","Optimiser, Persistence layer","50"
"Now","TSM RL training, evaluation, & deployment tool","This feature set is to provide a TSM/pre-sales engineer without a specialist DS background to select an appropriate pre-trained RL agent, deploy it, ","Optimiser, ML OPs","40"
"Next","Auto generating complex E+ models","This feature is a pipeline to automatically populate/generate an E+ model of a DC, from customer documentation and possibly site survey information. ","ML OPs","75"
